"id","region","year","conversion_factor_sec_naphtha_orig","conversion_factor_sec_naphtha","cost_var_e","bandwidth_type","version","method","source","comment"
31,"DE",2021,"[1.0]","[1.0]","[2.5554]","{""conversion_factor_sec_naphtha_orig"": ""values"", ""conversion_factor_sec_naphtha"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_naphtha_orig"": """", ""conversion_factor_sec_naphtha"": """", ""cost_var_e"": ""costs for 150km pipeline transport added to costs for 150km truck transport, similar value as for methanol pipeline in 2020 is assumed, multiplied with a value accounting for the difference in volumetric energy density (values for density from https://www.engineeringtoolbox.com/fuels-higher-calorific-values-d_169.html) and converted from €/GJ to €/MWh, monetary year in source is 2022 which is adapted to €2021""}","{""conversion_factor_sec_naphtha_orig"": """", ""conversion_factor_sec_naphtha"": """", ""cost_var_e"": ""5FuelsConcawe""}",""
32,"DE",2024,"[1.0]","[1.0]","[2.5554]","{""conversion_factor_sec_naphtha_orig"": ""values"", ""conversion_factor_sec_naphtha"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_naphtha_orig"": """", ""conversion_factor_sec_naphtha"": """", ""cost_var_e"": ""assumed to remain constant""}","{""conversion_factor_sec_naphtha_orig"": """", ""conversion_factor_sec_naphtha"": """", ""cost_var_e"": ""5FuelsConcawe""}",""
33,"DE",2027,"[1.0]","[1.0]","[2.5554]","{""conversion_factor_sec_naphtha_orig"": ""values"", ""conversion_factor_sec_naphtha"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_naphtha_orig"": """", ""conversion_factor_sec_naphtha"": """", ""cost_var_e"": ""assumed to remain constant""}","{""conversion_factor_sec_naphtha_orig"": """", ""conversion_factor_sec_naphtha"": """", ""cost_var_e"": ""5FuelsConcawe""}",""
34,"DE",2030,"[1.0]","[1.0]","[2.5554]","{""conversion_factor_sec_naphtha_orig"": ""values"", ""conversion_factor_sec_naphtha"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_naphtha_orig"": """", ""conversion_factor_sec_naphtha"": """", ""cost_var_e"": ""assumed to remain constant""}","{""conversion_factor_sec_naphtha_orig"": """", ""conversion_factor_sec_naphtha"": """", ""cost_var_e"": ""5FuelsConcawe""}",""
35,"DE",2035,"[1.0]","[1.0]","[2.5554]","{""conversion_factor_sec_naphtha_orig"": ""values"", ""conversion_factor_sec_naphtha"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_naphtha_orig"": """", ""conversion_factor_sec_naphtha"": """", ""cost_var_e"": ""assumed to remain constant""}","{""conversion_factor_sec_naphtha_orig"": """", ""conversion_factor_sec_naphtha"": """", ""cost_var_e"": ""5FuelsConcawe""}",""
36,"DE",2040,"[1.0]","[1.0]","[2.5554]","{""conversion_factor_sec_naphtha_orig"": ""values"", ""conversion_factor_sec_naphtha"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_naphtha_orig"": """", ""conversion_factor_sec_naphtha"": """", ""cost_var_e"": ""assumed to remain constant""}","{""conversion_factor_sec_naphtha_orig"": """", ""conversion_factor_sec_naphtha"": """", ""cost_var_e"": ""5FuelsConcawe""}",""
37,"DE",2045,"[1.0]","[1.0]","[2.5554]","{""conversion_factor_sec_naphtha_orig"": ""values"", ""conversion_factor_sec_naphtha"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_naphtha_orig"": """", ""conversion_factor_sec_naphtha"": """", ""cost_var_e"": ""assumed to remain constant""}","{""conversion_factor_sec_naphtha_orig"": """", ""conversion_factor_sec_naphtha"": """", ""cost_var_e"": ""5FuelsConcawe""}",""
38,"DE",2050,"[1.0]","[1.0]","[2.5554]","{""conversion_factor_sec_naphtha_orig"": ""values"", ""conversion_factor_sec_naphtha"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_naphtha_orig"": """", ""conversion_factor_sec_naphtha"": """", ""cost_var_e"": ""assumed to remain constant""}","{""conversion_factor_sec_naphtha_orig"": """", ""conversion_factor_sec_naphtha"": """", ""cost_var_e"": ""5FuelsConcawe""}",""
39,"DE",2060,"[1.0]","[1.0]","[2.5554]","{""conversion_factor_sec_naphtha_orig"": ""values"", ""conversion_factor_sec_naphtha"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_naphtha_orig"": """", ""conversion_factor_sec_naphtha"": """", ""cost_var_e"": ""assumed to remain constant""}","{""conversion_factor_sec_naphtha_orig"": """", ""conversion_factor_sec_naphtha"": """", ""cost_var_e"": ""5FuelsConcawe""}",""
40,"DE",2070,"[1.0]","[1.0]","[2.5554]","{""conversion_factor_sec_naphtha_orig"": ""values"", ""conversion_factor_sec_naphtha"": ""values"", ""cost_var_e"": ""values""}","srd_point_sedos","{""conversion_factor_sec_naphtha_orig"": """", ""conversion_factor_sec_naphtha"": """", ""cost_var_e"": ""assumed to remain constant""}","{""conversion_factor_sec_naphtha_orig"": """", ""conversion_factor_sec_naphtha"": """", ""cost_var_e"": ""5FuelsConcawe""}",""
